"Статус","Количество"
"Active","34"
"Withdrawn","58"
"Superseded","24"
"Final","285"
"Rejected","125"
"Deferred","37"
"April Fool!","2"
"Accepted","46"
"Draft","31"
"Provisional","2"
"Total","634"
